interface_id,pore_i,pore_j,traction_constant,traction_linear,flux_constant_residual,flux_linear_residual
0,0,1,0.8341269773446303,0.0011225913646595305,2.0058545476501214e-17,-2.104982753045343e-18
1,1,2,0.9134082399678441,0.0012123814852444729,-9.47999274567013e-18,-8.423372083529593e-18
2,1,3,0.8245942282848246,-0.0004696931569563246,-3.0330555775281987e-17,-1.685897320523517e-17
3,2,5,0.9154427248386182,0.0025650888286661926,2.358139725155972e-17,-3.864429003170135e-18
4,3,4,0.777279994819253,0.0012301053713464284,-7.453889935837843e-20,-8.686111115856036e-18
5,3,6,0.8034364171422984,0.0037776065166123082,-3.2766622531585354e-17,-1.701170383353696e-17
6,4,8,0.7290468895161207,-0.004549912884266614,6.2002811739014785e-18,-6.268043809681823e-20
7,5,7,0.826978079296896,0.003909458047733134,-6.348003719902628e-17,4.3934751941133304e-17
8,5,10,0.8909275943189592,0.006661706001682412,1.489693784995083e-16,3.5321273900504324e-19
9,6,7,0.7991788116620924,-0.0010144171811159466,-1.870790848623738e-16,1.7520029481007948e-17
10,6,9,0.7683054031814712,0.0009983984000192106,4.3612032388229416e-17,1.1973763621505196e-17
11,7,11,0.7100490658789468,0.00195039256247186,2.0694708967317066e-17,7.850036657356839e-18
12,8,9,0.7379989986838159,0.006144649477329434,6.560100769895105e-17,1.9809559537436322e-17
13,8,12,0.5972975157539135,0.0004412910333902799,-2.6169929938368863e-17,5.735895360569308e-18
14,9,16,0.7300410757831536,-0.010157589644470154,9.803898144700174e-17,-1.6794969278158267e-17
15,10,13,0.9797832934708637,-0.011520023076963856,-4.662069341687669e-18,-4.2788716363498236e-17
16,10,14,0.8081813451159929,0.004011963831215784,-2.7294789692322574e-17,-2.975436161291225e-17
17,11,14,0.6313609208740272,0.002117606245132433,-1.3010426069826053e-17,-2.402608954886823e-18
18,11,17,0.5879950020558622,-0.005520772966072173,9.64939933512099e-18,-2.205843201239649e-17
19,12,15,0.47305149309944294,0.00010544248080986872,-7.303235022317023e-18,-2.6134275145245378e-19
20,12,18,0.46368115680383304,-0.0034365957513321724,-2.5492303580565423e-17,3.956914413098464e-18
21,16,19,0.6346407597640621,0.00324665158810467,-9.208942202548753e-18,1.0551912940420446e-18
22,16,20,0.602450920231659,0.0013068487731956757,7.616520261710669e-18,2.772180017685715e-19
23,17,19,0.5579354428224733,0.005625687516928196,3.7608262858090935e-18,-1.320100848295827e-18
24,17,21,0.5071631490907176,0.004482357382410608,-6.01732205729455e-17,2.6870002669274543e-18
25,18,20,0.46621429251352914,0.0016743164614609755,1.997642502804542e-17,-1.6974540262976179e-18
26,18,22,0.20354305983519214,-0.0002646501322321129,-5.664956351236761e-18,-1.042062283359603e-18
27,19,23,0.4234587464283247,0.002712842953398859,8.084082448595042e-18,-1.215756977105938e-19
28,20,25,0.3885151006504357,0.004983065586990522,-4.8382521947165635e-18,-1.1365064569784575e-18
29,21,24,0.3065242653107802,0.007381542742401627,-3.7947076036992655e-18,4.870439446712227e-20
30,21,26,0.30716786295937265,0.009432491771887057,1.1411227865409934e-17,1.3421237049244389e-18
31,22,25,0.13949825241188135,0.0008045616009994894,1.4121733296623695e-17,-5.385011962169214e-19
32,23,25,0.3002047667828311,-0.006645960321424706,-1.0317708330504632e-17,-5.86570315973603e-19
33,23,26,0.2130644059300496,0.005433362343751725,3.821812658011403e-18,-7.472948177151065e-19
34,24,26,0.07566321101285196,0.0010609093639815663,2.4123498337802474e-18,2.778268066994105e-19
